City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
647,Barra Do Garcas,BR,76.12,scattered clouds,-15.89,-52.2567,Pousada Tropical
649,Payo,ID,84.42,broken clouds,-3.7508,103.6372,Mess keban agung
650,Kingaroy,AU,79.5,clear sky,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
654,Abaetetuba,BR,75.85,overcast clouds,-1.7181,-48.8825,Hotel Joanayna
662,Chihuahua,MX,88.63,overcast clouds,28.5,-106.0,
666,Kudahuvadhoo,MV,83.57,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
670,Boyolangu,ID,83.35,broken clouds,-8.1181,111.8935,Yos ega cv
671,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
672,Nouakchott,MR,82.33,overcast clouds,18.0858,-15.9785,HOTEL IMAN
674,Kismayo,SO,79.92,broken clouds,-0.3582,42.5454,Agan-Hotel
677,Bougouni,ML,82.65,scattered clouds,11.417,-7.479,Non Stop
690,Guacimo,CR,75.42,overcast clouds,10.2104,-83.6807,Hotel Los Ríos
691,Ratnagiri,IN,84.4,overcast clouds,16.9833,73.3,Hotel Landmark
696,Lae,PG,87.62,few clouds,-6.7221,146.9847,Phils Hotel
700,Biloela,AU,80.91,broken clouds,-24.4167,150.5,Silo Motor Inn Biloela
701,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
